"yr","stk","marCatch","frfnCatch","totalCatch","totalEsc","totalRun","marER","frfnER","totalER"
1952,"1",0.148777,0.006507,0.155284,0.030212,0.185496,0.802049639884418,0.0350789235347393,0.837128563419157
1953,"1",0.866724,0.027418,0.894142,0.154036,1.048178,0.826886273132998,0.0261577709129556,0.853044044045954
1954,"1",0.198093,0.008673,0.206766,0.03505,0.241816,0.819188970126046,0.035866113077712,0.855055083203758
1955,"1",0.13797,0.001355,0.139325,0.002159,0.15897,0.867899603698811,0.00852362080895767,0.876423224507769
1956,"1",0.065136,0.003073,0.068209,0.02502,0.093229,0.698666723873473,0.0329618466357035,0.731628570509176
1957,"1",0.289469,0.023952,0.313421,0.23485,0.548271,0.527967009015615,0.0436864251437701,0.571653434159385
1958,"1",0.114393,0.004467,0.11886,0.038807,0.157667,0.72553546398422,0.0283318639918309,0.753867327976051
1959,"1",0.023336,0.000519,0.023855,0.00267,0.026525,0.879773798303487,0.0195664467483506,0.899340245051838
1960,"1",0.063432,0.004128,0.06756,0.014447,0.102667,0.61784214986315,0.0402076616634362,0.658049811526586
1961,"1",0.996024,0.030177,1.026201,0.198921,1.225122,0.812999848178385,0.0246318325848364,0.837631680763222
1962,"1",0.075185,0.006631,0.081816,0.026716,0.108532,0.692744996867283,0.0610971879261416,0.753842184793425
1963,"1",0.008646,0.001669,0.010315,0.004607,0.014922,0.579412947326096,0.111848277710763,0.691261225036858
1964,"1",0.033303,0.010769,0.044072,0.00239,0.076078,0.43774810063356,0.141552091274744,0.579300191908305
1965,"1",0.225473,0.007807,0.23328,0.023045,0.256325,0.879637179362138,0.0304574270945089,0.910094606456647
1966,"1",0.055621,0.004299,0.05992,0.01083,0.07075,0.786162544169611,0.0607632508833922,0.846925795053004
1967,"1",0.074337,0.00314,0.077477,0.021044,0.098521,0.75452949117447,0.0318713776758255,0.786400868850296
1968,"1",0.013715,0.012528,0.026243,0.001522,0.027765,0.493967224923465,0.451215559157212,0.945182784080677
1969,"1",0.268776,0.052742,0.321518,0.109655,0.431173,0.623359997031354,0.122322130560123,0.745682127591477
1970,"1",0.027397,0.02278,0.050177,0.034389,0.084566,0.323971809001253,0.269375399096564,0.593347208097817
1971,"1",0.180541,0.049661,0.230202,0.09594,0.326142,0.553565624789202,0.152268030489787,0.705833655278989
1972,"1",0.011963,0.00692,0.018883,0.004657,0.02354,0.508198810535259,0.293967714528462,0.802166525063721
1973,"1",1.01577,0.050519,1.066289,0.299892,1.366181,0.743510559728177,0.0369782627631331,0.78048882249131
1974,"1",0.102737,0.044666,0.147403,0.039518,0.186921,0.549627917676451,0.23895656453796,0.788584482214411
1975,"1",0.288427,0.057026,0.345453,0.065752,0.426202,0.676737791000511,0.133800404503029,0.810538195503541
1976,"1",0.011622,0.016213,0.027835,0.011761,0.039596,0.293514496413779,0.409460551570866,0.702975047984645
1977,"1",1.131897,0.093114,1.225011,0.117445,1.342456,0.843153891077249,0.0693609324998361,0.912514823577086
1978,"1",0.036769,0.059502,0.096271,0.050004,0.146275,0.251368996752692,0.406781746709964,0.658150743462656
1979,"1",0.061075,0.068881,0.129956,0.092746,0.222702,0.274245404172392,0.309296728363463,0.583542132535855
1980,"1",0.007124,0.007665,0.014789,0.016939,0.031728,0.224533535047907,0.241584720121029,0.466118255168936
1981,"1",0.486469,0.139575,0.626044,0.129457,0.755501,0.643902522961584,0.184744957319712,0.828647480281297
1982,"1",0.019885,0.047361,0.067246,0.004557,0.080125,0.24817472698908,0.591088923556942,0.839263650546022
1983,"1",0.012278,0.054843,0.067121,0.023867,0.090988,0.134940871323691,0.602749813162175,0.737690684485866
1984,"1",0.001555,0.009289,0.010844,0.045201,0.056045,0.0277455616022839,0.165741814613257,0.193487376215541
1985,"1",0.044883,0.077428,0.122311,0.234519,0.35683,0.125782585544937,0.216988481910153,0.342771067455091
1986,"1",0.003162,0.013854,0.017016,0.028584,0.0456,0.0693421052631579,0.303815789473684,0.373157894736842
1987,"1",0.007188,0.022385,0.029573,0.148194,0.177767,0.0404349513689267,0.125923259097583,0.16635821046651
1988,"1",0.013365,0.028403,0.041768,0.179807,0.221575,0.0603181766896085,0.128186844183685,0.188505020873293
1989,"1",0.627746,0.199254,0.827,0.384799,1.211799,0.518028154834259,0.164428259141986,0.682456413976245
1990,"1",0.005746,0.052084,0.05783,0.097035,0.154865,0.0371032835049882,0.336318729215769,0.373422012720757
1991,"1",0.18294,0.188394,0.371334,0.141119,0.512453,0.356988836049355,0.367631763303171,0.724620599352526
1992,"1",0.00678,0.164529,0.171309,0.065617,0.350407,0.0193489285316789,0.469536852859675,0.488885781391353
1993,"1",0.208617,0.255059,0.463676,0.687967,1.151643,0.181147282621437,0.221474015819138,0.402621298440576
1994,"1",0.00616,0.040254,0.046414,0.029831,0.204245,0.0301598570344439,0.197086831990991,0.227246689025435
