manUnit,stkName,stk,model,domCycle,usER,minER,tauCycAge,alpha,beta0,sigma,aveGenTime,ageFirstRec,ageMaxRec,larkAlpha,larkBeta0,larkBeta1,larkBeta2,larkBeta3,larkSigma,meanRec2,meanRec3,meanRec4,meanRec5,meanRec6,medianRec,lowQRec,highQRec,meanDBE,sdDBE,medMA,meanForecast,sdForecast
EStu,E. Stuart,1,larkin,1,0.001,0.1,1.075,1.37,1.39,0.81,4,2,5,1.79,1.41,2.62,1.54,0.83,0.75,0,0.001806175,0.912950759,0.085243065,0,0.146655,0.07051425,0.276144,0.525258056,0.246054249,1.105438917,1.019464193,0.491292043
Summ,L. Stuart,2,larkin,1,0.165,0.1,1.8,1.68,0.83,1.26,4,2,5,2,0.94,1.08,0.86,0.35,1.25,0,0.00353746,0.881409603,0.115052937,0,0.122809345,0.02892,0.449507,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313
Summ,Stellako,3,ricker,NA,0.165,0.1,0.75,1.8,3.75,0.86,4,2,5,2.61,3.23,2.08,0.59,5.41,0.71,0,0.000969123,0.845145264,0.153885612,0,0.3064765,0.18293825,0.63184625,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313
ESumm,Bowron,4,ricker,NA,0.165,0.1,1.7,1.57,24.31,0.81,4,2,5,1.78,27.1,6.33,7.62,4.53,0.87,0,0.001012669,0.848242483,0.150744848,0,0.0212625,0.01300825,0.04336375,0.411287344,0.17674031,0.637333717,0.880720122,0.451454589
Summ,Raft,5,ricker,NA,0.165,0.1,0.9,1.51,21.48,0.78,4,2,5,1.74,19.21,4.66,14.24,9.56,0.79,0,0.002245351,0.746056386,0.251698263,0,0.0233325,0.00958675,0.047736928,0.55404385,0.255442547,0.152984277,2.253132758,3.570753313
Summ,Quesnel,6,larkin,1,0.165,0.1,2.975,1.64,0.46,1.02,4,2,5,2.02,0.37,0.31,0.35,0.55,0.85,0,0.003262675,0.911986675,0.084750649,0,0.065181323,0.0027205,1.0587615,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313
Summ,Chilko,7,ricker,NA,0.165,0.1,0.7,1.86,1.29,0.79,4,2,5,2.22,0.97,0.6,0.47,0.23,0.76,0,0.011027463,0.932670899,0.056301638,0,1.1907915,0.5259755,1.82798225,0.087538288,0.297677042,0.152984277,2.253132758,3.570753313
Lat,L. Shuswap,9,larkin,2,0.165,0.2,1.5,1.45,0.14,1.11,4,2,5,2.28,0.31,0.51,0.33,0.23,0.94,0,0.023407112,0.913110926,0.063481962,0,0.1130405,0.019543135,2.9135415,0.596922562,0.288392456,1.727281766,1.024347189,0.37695453
Lat,Birkenhead,10,ricker,NA,0.165,0.2,0.725,2.03,7.67,0.99,4,2,5,2.41,6.69,3.16,0.87,1.09,1,0,0.066414547,0.667259465,0.266325988,0,0.2321985,0.10849125,0.44658625,0.224119378,0.26350098,1.727281766,1.024347189,0.37695453
Lat,Cultus,11,ricker,NA,0.165,0.2,1.2,1.37,19.19,1,4,2,5,1.7,18.46,6.66,9.32,6.51,1.07,0,0.038576346,0.928338112,0.033085542,0,0.0181045,0.002646055,0.047068,0.596922562,0.288392456,1.727281766,1.024347189,0.37695453
Lat,Portage,12,ricker,NA,0.165,0.2,2.2,1.92,26.89,1.34,4,2,5,3.01,38.33,82.39,13.49,20.31,1.1,0,0.020967303,0.934085748,0.044946949,0,0.025171,0.012058696,0.0552285,0.596922562,0.288392456,1.727281766,1.024347189,0.37695453
Lat,Weaver,13,ricker,NA,0.165,0.2,0.7,2.08,5.72,1.31,4,2,5,2.63,5.51,4,2.13,3.3,1.37,0,0.008403845,0.845703853,0.145892302,0,0.244448455,0.14393025,0.3838825,0.596922562,0.288392456,1.727281766,1.024347189,0.37695453
ESumm,Fennell,14,ricker,NA,0.165,0.1,1.625,2.11,100.96,1.03,4,2,5,2.45,72.74,34.14,19,18.43,1.05,0,0.003352593,0.834347208,0.162300199,0,0.015029,0.008579218,0.03603,0.411287344,0.17674031,0.637333717,0.880720122,0.451454589
ESumm,Gates,16,ricker,NA,0.165,0.1,0.725,1.9,17.64,0.95,4,2,5,2.57,22.28,12.39,16.29,16.14,0.87,0,0.101532016,0.808682342,0.089785642,0,0.031231,0.014962933,0.078939836,0.411287344,0.17674031,0.637333717,0.880720122,0.451454589
ESumm,Nadina,17,ricker,NA,0.165,0.1,1.275,1.37,5.62,0.87,4,2,5,1.69,6.22,4.28,3.49,6.52,0.89,0,0.00071664,0.839701487,0.159581873,0,0.046853,0.015972002,0.098749,0.411287344,0.17674031,0.637333717,0.880720122,0.451454589
ESumm,Upper Pitt,18,ricker,NA,0.165,0.1,0.675,1.49,21.36,0.75,4,2,5,1.81,11.44,5.17,10.85,3.67,0.71,0,0.000441916,0.307868244,0.691689841,0,0.0614125,0.03406225,0.1013135,0.037008151,0.471549273,0.637333717,0.880720122,0.451454589
Summ,Harrison,19,ricker,NA,0.165,0.1,1.1,1.47,2.83,1.35,4,2,5,1.58,2.08,0.66,0.88,1.21,1.43,0.001467269,0.424013895,0.574518836,0,0,0.041545,0.017811,0.087825,0.257298427,0.480988177,0.152984277,2.253132758,3.570753313
ESumm,E. Shuswap,815,larkin,2,0.165,0.1,0.95,1.12,0.9,0.94,4,2,5,1.71,1.34,2.58,2.45,2.82,0.83,0,0.002365778,0.934761154,0.062873068,0,0.07411703,0.02505775,0.369772,0.411287344,0.17674031,0.637333717,0.880720122,0.451454589
