ESTIMATE_TYPE,LICENCE_AREA,OPNG_CAT,OPNG_DESC,TARGETS_SOCKEYE,TARGETS_COHO,TARGETS_PINK,TARGETS_CHUM,TARGETS_CHINOOK,STAT_WEEK,FISHING_DATE,MGMT_AREA,AREA_NAME,HRS_OPEN,VESSELS_OP,SOCKEYE_KEPT,SOCKEYE_RELD,COHO_KEPT,COHO_RELD,PINK_KEPT,PINK_RELD,CHUM_KEPT,CHUM_RELD,CHINOOK_KEPT,CHINOOK_RELD,COMMENTS
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,3-11PEAR,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,3-12N,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,3-13PORT,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,3-17DOG,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,3-7A,16,1,150,0,0,69,2500,0,0,382,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,3-7B,16,11,1110,0,0,1221,14350,0,0,4085,0,48,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,3-9N,16,1,104,0,0,36,1600,0,0,191,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,BOSTONRK,16,3,447,0,0,208,7500,0,0,2023,0,35,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / SX & PK/ Area 3 / July 11,YES,NO,YES,NO,NO, 07/3,11/07/2005,3,TRACEYB,16,6,900,0,0,216,15000,0,0,2946,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 11,NO,NO,YES,NO,NO, 07/3,11/07/2005,6,CAMPANIA 10,16,5,136,0,0,445,14400,0,0,936,0,36,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 11,NO,NO,YES,NO,NO, 07/3,11/07/2005,6,LEWIS 5 & 27,16,4,88,0,0,166,38600,0,0,3240,0,8,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 11,NO,NO,YES,NO,NO, 07/3,11/07/2005,6,SQUALLY 5,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 11,NO,NO,YES,NO,NO, 07/3,11/07/2005,6,TAYLOR B 26,16,7,153,0,0,198,18667,0,0,4183,0,35,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 11,NO,NO,YES,NO,NO, 07/3,11/07/2005,6,WHALE CH 6,16,6,169,0,0,196,25115,0,0,4617,0,71,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / PK/ Area 6 / Jul 11,NO,NO,YES,NO,NO, 07/3,11/07/2005,6,WRIGHT SD 28,16,0,0,0,0,0,0,0,0,0,0,0,
IN-SEASON,Area A - Salmon Seine,Full Fleet,Area A SN / CM & PK / Area 8 / Jul 11,NO,NO,YES,YES,NO, 07/3,11/07/2005,8,Fisher/Fitz Hugh Net Area,16,22,0,0,344,0,18414,0,4716,0,0,0,
