year,location,manUnit,catch,run
1996,WA,total,270000,4518100
1996,AK,total,36000,4518100
1998,WA,total,522000,10875700
1998,AK,total,186000,10875700
1999,WA,total,20000,3675800
1999,AK,total,21000,3675800
2000,WA,total,493600,5201500
2000,AK,total,2500,5201500
2002,WA,total,449000,15062400
2002,AK,total,1000,15062400
2003,WA,total,243000,4898000
2003,AK,total,68000,4898000
2004,WA,total,195600,4184800
2004,AK,total,63300,4184800
2006,WA,total,707500,12981500
2006,AK,total,20000,12981500
2007,WA,total,3400,1510300
2007,AK,total,139000,1510300
2008,WA,total,49400,1741000
2008,AK,total,1600,1741000
2010,WA,total,1959500,28264700
2010,AK,total,0,28264700
2011,WA,total,278800,5130100
2011,AK,total,18400,5130100
2012,WA,total,111300,2219200
2012,AK,total,6800,2219200
2015,WA,total,46200,2010200
2015,AK,total,104400,2010200
2016,WA,total,1700,858300
2016,AK,total,34000,858300
2006,WA,earlyStuart,0,56000
2006,AK,earlyStuart,0,56000
2007,WA,earlyStuart,0,12700
2007,AK,earlyStuart,0,12700
2008,WA,earlyStuart,0,34100
2008,AK,earlyStuart,0,34100
2010,WA,earlyStuart,300,104900
2010,AK,earlyStuart,0,104900
2011,WA,earlyStuart,10,21200
2011,AK,earlyStuart,0,21200
2012,WA,earlyStuart,0,184900
2012,AK,earlyStuart,0,184900
2015,WA,earlyStuart,0,28700
2015,AK,earlyStuart,0,28700
2006,WA,earlySummer,129000,1819000
2006,AK,earlySummer,2800,1819000
2007,WA,earlySummer,200,195300
2007,AK,earlySummer,30600,195300
2008,WA,earlySummer,9900,453200
2008,AK,earlySummer,400,453200
2010,WA,earlySummer,226700,3002600
2010,AK,earlySummer,0,3002600
2011,WA,earlySummer,15200,565200
2011,AK,earlySummer,1200,565200
2012,WA,earlySummer,8300,532900
2012,AK,earlySummer,200,532900
2015,WA,earlySummer,5800,287300
2015,AK,earlySummer,9800,287300
2006,WA,summer,181000,2513000
2006,AK,summer,3800,2513000
2007,WA,summer,700,637000
2007,AK,summer,52800,637000
2008,WA,summer,34800,1011900
2008,AK,summer,900,1011900
2010,WA,summer,386300,5756000
2010,AK,summer,0,5756000
2011,WA,summer,177500,3419400
2011,AK,summer,13200,3419400
2012,WA,summer,90500,1239800
2012,AK,summer,5700,1239800
2015,WA,summer,37800,1576100
2015,AK,summer,83900,1576100
2006,WA,late,397000,8594000
2006,AK,late,13000,8594000
2007,WA,late,2400,665200
2007,AK,late,55600,665200
2008,WA,late,3800,241800
2008,AK,late,4400,241800
2010,WA,late,1346300,19401300
2010,AK,late,0,19401300
2011,WA,late,86000,1124400
2011,AK,late,4000,1124400
2012,WA,late,12500,261500
2012,AK,late,900,261500
2015,WA,late,2600,118100
2015,AK,late,10700,118100
