yr,eff,ets
1948,7145,12746
1949,6016,9055
1950,19901,29928
1951,9675,12677
1952,12135,17833
1953,5290,11543
1954,11241,22036
1955,17932,25922
1956,9088,13718
1957,13130,20375
1958,7530,13324
1959,32026,47779
1960,10120,17640
1961,7033,13396
1962,17547,26997
1963,11271,20303
1964,6210,11067
1965,1623,2455
1966,9243,16919
1967,18431,33198
1968,14875,25314
1969,3181,5942
1970,8163,13941
1971,4967,9128
1972,5794,10366
1973,323,641
1974,5354,8984
1975,7343,11349
1976,2884,4435
1977,41,82
1978,3156,5076
1979,20295,32031
1980,964,1657
1981,144,256
1982,10280,16725
1983,11490,19944
1984,417,720
1985,209,424
1986,2163,3210
1987,17372,32162
1988,487,861
1989,236,418
1990,1011,1860
1991,10467,20157
1992,748,1203
1993,571,1063
1994,2650,4399
1995,5572,10316
1996,1114,2022
1997,43,88
1998,1031,1959
1999,6835,12427
2000,614,1227
2001,258,515
2002,2712,4873
2003,864,1939
2004,33,52
2005,58,112
2006,1823,3509
2007,256,538
2008,164,338
2009,349,705
2010,5541,9669
2011,3908,6948
2012,512,835
2013,1342,2327
2014,2165,4378
2015,554,1113
