"stk","stkName","yr","cyc","marCatch","marER","frfnCatch","frfnER","totCatch","totER","totRun"
1,"E. Stuart",1952,0,0.148777,0.8,0.006507,0.04,0.155284,0.84,185496
1,"E. Stuart",1953,1,0.866724,0.83,0.027418,0.03,0.894142,0.85,1048178
1,"E. Stuart",1954,2,0.198093,0.82,0.008673,0.04,0.206766,0.86,241816
1,"E. Stuart",1955,3,0.13797,0.87,0.001355,0.01,0.139325,0.88,158970
1,"E. Stuart",1956,0,0.065136,0.7,0.003073,0.03,0.068209,0.73,93229
1,"E. Stuart",1957,1,0.289469,0.53,0.023952,0.04,0.313421,0.57,548271
1,"E. Stuart",1958,2,0.114393,0.73,0.004467,0.03,0.11886,0.75,157667
1,"E. Stuart",1959,3,0.023336,0.88,0.000519,0.02,0.023855,0.9,26525
1,"E. Stuart",1960,0,0.063432,0.62,0.004128,0.04,0.06756,0.66,102667
1,"E. Stuart",1961,1,0.996024,0.81,0.030177,0.02,1.026201,0.84,1225122
1,"E. Stuart",1962,2,0.075185,0.69,0.006631,0.06,0.081816,0.75,108532
1,"E. Stuart",1963,3,0.008646,0.58,0.001669,0.11,0.010315,0.69,14922
1,"E. Stuart",1964,0,0.033303,0.44,0.010769,0.14,0.044072,0.58,76078
1,"E. Stuart",1965,1,0.225473,0.88,0.007807,0.03,0.23328,0.91,256325
1,"E. Stuart",1966,2,0.055621,0.79,0.004299,0.06,0.05992,0.85,70750
1,"E. Stuart",1967,3,0.074337,0.75,0.00314,0.03,0.077477,0.79,98521
1,"E. Stuart",1968,0,0.013715,0.49,0.012528,0.45,0.026243,0.95,27765
1,"E. Stuart",1969,1,0.268776,0.62,0.052742,0.12,0.321518,0.75,431173
1,"E. Stuart",1970,2,0.027397,0.32,0.02278,0.27,0.050177,0.59,84566
1,"E. Stuart",1971,3,0.180541,0.55,0.049661,0.15,0.230202,0.71,326142
1,"E. Stuart",1972,0,0.011963,0.51,0.00692,0.29,0.018883,0.8,23540
1,"E. Stuart",1973,1,1.01577,0.74,0.050519,0.04,1.066289,0.78,1366181
1,"E. Stuart",1974,2,0.102737,0.55,0.044666,0.24,0.147403,0.79,186921
1,"E. Stuart",1975,3,0.288427,0.68,0.057026,0.13,0.345453,0.81,426202
1,"E. Stuart",1976,0,0.011622,0.29,0.016213,0.41,0.027835,0.7,39596
1,"E. Stuart",1977,1,1.131897,0.84,0.093114,0.07,1.225011,0.91,1342456
1,"E. Stuart",1978,2,0.036769,0.25,0.059502,0.41,0.096271,0.66,146275
1,"E. Stuart",1979,3,0.061075,0.27,0.068881,0.31,0.129956,0.58,222702
1,"E. Stuart",1980,0,0.007124,0.22,0.007665,0.24,0.014789,0.47,31728
1,"E. Stuart",1981,1,0.486469,0.64,0.139575,0.18,0.626044,0.83,755501
1,"E. Stuart",1982,2,0.019885,0.25,0.047361,0.59,0.067246,0.84,80125
1,"E. Stuart",1983,3,0.012278,0.13,0.054843,0.6,0.067121,0.74,90988
1,"E. Stuart",1984,0,0.001555,0.03,0.009289,0.17,0.010844,0.19,56045
1,"E. Stuart",1985,1,0.044883,0.13,0.077428,0.22,0.122311,0.34,356830
1,"E. Stuart",1986,2,0.003162,0.07,0.013854,0.3,0.017016,0.37,45600
1,"E. Stuart",1987,3,0.007188,0.04,0.022385,0.13,0.029573,0.17,177767
1,"E. Stuart",1988,0,0.013365,0.06,0.028403,0.13,0.041768,0.19,221575
1,"E. Stuart",1989,1,0.627746,0.52,0.199254,0.16,0.827,0.68,1211799
1,"E. Stuart",1990,2,0.005746,0.04,0.052084,0.34,0.05783,0.37,154865
1,"E. Stuart",1991,3,0.18294,0.36,0.188394,0.37,0.371334,0.72,512453
1,"E. Stuart",1992,0,0.00678,0.02,0.164529,0.47,0.171309,0.49,350407
1,"E. Stuart",1993,1,0.208617,0.18,0.255059,0.22,0.463676,0.4,1151643
1,"E. Stuart",1994,2,0.00616,0.03,0.040254,0.2,0.046414,0.23,204245
1,"E. Stuart",1995,3,0.009246,0.07,0.006209,0.04,0.015455,0.11,138165
1,"E. Stuart",1996,0,0.005405,0.06,0.002576,0.03,0.007981,0.08,95550
1,"E. Stuart",1997,1,0.366773,0.22,0.404934,0.24,0.771707,0.46,1671734.82
1,"E. Stuart",1998,2,0.005993,0.03,0.015027,0.08,0.02102,0.11,189759.38
1,"E. Stuart",1999,3,0.00447,0.03,0.022334,0.13,0.026804,0.16,171628.61
1,"E. Stuart",2000,0,0.01145,0.03,0.214508,0.57,0.225958,0.6,378191.55
1,"E. Stuart",2001,1,0.004942,0.02,0.038338,0.18,0.04328,0.2,214186
1,"E. Stuart",2002,2,0.001277,0.02,0.00444,0.07,0.005717,0.09,62663
1,"E. Stuart",2003,3,0.00069178,0.02,0.00046912,0.02,0.00116091,0.04,30275.42
1,"E. Stuart",2004,0,0.00492173,0.04,0.03548279,0.26,0.04075597,0.3,137100.11
1,"E. Stuart",2005,1,0.00371589,0.02,0.01776952,0.08,0.02149543,0.1,219696.34
1,"E. Stuart",2006,2,0.00170703,0.03,0.00591862,0.11,0.00762565,0.14,55781.74
