"stk","stkName","yr","cyc","rec","eff","ets","rec2","rec3","rec4","rec5","rec6"
1,"E. Stuart",1948,4,0.198153,0.010859,0.018061,0,0,0.179412,0.018741,0
1,"E. Stuart",1949,1,1.030708,0.168458,0.35519,0,0.006218,1.029437,0.001271,0
1,"E. Stuart",1950,2,0.241087,0.025658,0.053069,0,0.000579,0.240545,0.000542,0
1,"E. Stuart",1951,3,0.173645,0.029785,0.052825,0,9e-06,0.158428,0.015217,0
1,"E. Stuart",1952,4,0.088572,0.015484,0.027821,0,2.8e-05,0.078012,0.01056,0
1,"E. Stuart",1953,1,0.540597,0.078238,0.137097,0,0.000294,0.537711,0.002886,0
1,"E. Stuart",1954,2,0.155482,0.01801,0.034427,0,0.000341,0.154781,0.000701,0
1,"E. Stuart",1955,3,0.027456,0.001397,0.002052,0,1.1e-05,0.025824,0.001632,0
1,"E. Stuart",1956,4,0.107428,0.016661,0.024684,0,0,0.101035,0.006393,0
1,"E. Stuart",1957,1,1.219035,0.119273,0.232256,0,0.00073,1.215763,0.003272,0
1,"E. Stuart",1958,2,0.102352,0.022196,0.037279,0,0.000755,0.102112,0.00024,0
1,"E. Stuart",1959,3,0.020835,0.001297,0.002586,0,0,0.014682,0.006153,0
1,"E. Stuart",1960,4,0.074127,0.007401,0.012397,0,2.2e-05,0.069925,0.004202,0
1,"E. Stuart",1961,1,0.254331,0.087782,0.16048,0,0.00063,0.252123,0.002208,0
1,"E. Stuart",1962,2,0.073653,0.014103,0.025398,0,0,0.067661,0.005992,0
1,"E. Stuart",1963,3,0.092222,0.00259,0.004109,0,0.000332,0.090397,0.001825,0
1,"E. Stuart",1964,4,0.038889,0.0013,0.002319,0,0.001027,0.02594,0.012949,0
1,"E. Stuart",1965,1,0.416779,0.011241,0.018543,0,0.000432,0.415253,0.001526,0
1,"E. Stuart",1966,2,0.08304,0.005959,0.01009,0,0.001746,0.08304,0,0
1,"E. Stuart",1967,3,0.33927,0.011167,0.019949,0,0.000423,0.326142,0.013128,0
1,"E. Stuart",1968,4,0.010412,0.000793,0.00134,0,1.1e-05,0.010412,0,0
1,"E. Stuart",1969,1,1.370633,0.048796,0.089746,0,0.000648,1.366181,0.004452,0
1,"E. Stuart",1970,2,0.179544,0.015806,0.028206,0,0.001212,0.178232,0.001312,0
1,"E. Stuart",1971,3,0.430503,0.04561,0.08544,0,0.000311,0.42351,0.006993,0
1,"E. Stuart",1972,4,0.032207,0.002253,0.004219,0,2.5e-05,0.032207,0,0
1,"E. Stuart",1973,1,1.346407,0.153876,0.295915,0,0.004591,1.342456,0.003951,0
1,"E. Stuart",1974,2,0.143525,0.02161,0.038013,0,0.001242,0.141307,0.002218,0
1,"E. Stuart",1975,3,0.222859,0.026252,0.052052,0,0.00015,0.220007,0.002852,0
1,"E. Stuart",1976,4,0.031834,0.006792,0.011431,0,4.3e-05,0.0288,0.003034,0
1,"E. Stuart",1977,1,0.761122,0.053363,0.086551,0,0.000572,0.752467,0.008655,0
1,"E. Stuart",1978,2,0.07265,0.020004,0.035786,0,0.000202,0.07147,0.00118,0
1,"E. Stuart",1979,3,0.107696,0.03617,0.069277,0,3.4e-05,0.089807,0.017889,0
