"stk","alpha","beta0","beta1","beta2","beta3","sigma","deviance"
1,1.947,1.577,4.323,1.375,0.9018,0.6062,-96.41
1,1.962,1.982,2.851,1.476,1.011,0.7349,-105.8
1,1.594,1.458,1.006,2.028,0.08708,0.63,-96.66
1,1.906,2.414,3.793,1.11,0.3432,0.7918,-104.1
1,1.947,1.239,2.741,2.408,0.7406,0.9059,-100.6
1,1.811,0.7426,1.567,1.34,1.68,0.7427,-101.2
1,1.795,0.9559,3.346,1.127,1.379,0.6357,-100.5
1,1.823,1.208,3.501,0.6378,0.4892,0.7755,-103.4
1,1.927,0.987,2.476,1.823,1.661,0.7228,-103.6
1,1.954,1.349,3.828,2.61,0.322,0.6965,-102.3
1,1.493,1.389,1.457,0.9497,0.1569,0.7321,-103.6
1,1.773,1.105,2.207,1.983,1.8,0.7896,-102.9
1,1.688,1.27,1.278,0.9687,1.225,0.8768,-100.8
1,2.109,0.9766,4.91,2.846,0.7314,0.7204,-95.96
1,1.843,0.727,2.29,1.545,0.9893,0.8251,-102.8
1,1.839,0.8037,2.882,1.422,1.164,0.7338,-105
1,1.775,0.9177,3.336,2.001,0.4068,0.7644,-105.3
1,1.747,1.682,2.276,1.504,0.2442,0.7742,-106.3
1,1.895,1.218,2.422,2.325,0.9043,0.8153,-104.2
1,1.817,2.885,2.843,0.9245,1.728,0.7322,-100.3
1,1.895,0.9954,3.783,1.171,0.3459,0.7354,-102.8
1,1.583,1.409,1.925,1.033,0.4971,0.7235,-105.6
1,1.686,1.384,2.012,1.383,0.9518,0.6635,-104.9
1,1.494,0.6141,2.024,1.866,0.3175,0.7238,-102.1
1,1.581,1.328,1.707,1.419,0.7708,0.8945,-101.2
1,1.766,1.085,3.16,1.362,0.1331,0.705,-105.6
1,1.942,2.614,3.739,0.8847,0.2244,0.6529,-100.3
1,2.132,2.532,2.873,1.211,1.788,0.6751,-98.39
1,1.486,1.772,0.4495,1.276,0.5559,0.7098,-98.51
1,1.798,1.061,2.252,0.5831,1.099,0.7162,-101.9
1,1.823,2.12,2.331,2.063,0.5509,0.736,-105.9
1,1.855,2.371,1.99,1.506,1.243,0.6651,-103.8
1,1.678,1.278,1.492,1.784,2.178,0.6948,-97.39
1,1.945,1.273,3.23,2.617,0.5872,0.8641,-102
1,1.778,0.6873,3.83,0.8503,1.151,0.7296,-101.8
1,1.797,1.597,3.12,0.2559,0.8073,0.7124,-102.9
1,1.623,1.097,2.934,0.4647,0.4454,0.8091,-103.8
1,1.79,1.75,2.769,1.186,0.5586,0.782,-106.5
1,1.447,0.4919,2.45,1.363,0.3253,0.6868,-100.4
1,1.748,1.13,2.478,2.116,1.364,0.79,-103.8
1,1.796,1.27,1.917,2.742,0.8577,0.9186,-99.17
1,1.739,1.036,1.499,1.701,1.051,0.7899,-104
