manUnit,year,preseason,inseason50,tacDate
EStu,2005,258000,130000,210000
ESumm,2005,718000,391000,775000
Summ,2005,11048000,3000000,7000000
Lat,2005,524000,538000,560000
EStu,2006,84000,84000,70000
ESumm,2006,1303000,1303000,1450000
Summ,2006,7158000,4020000,2000000
Lat,2006,8812000,8062000,5195000
EStu,2007,45000,13000,13000
ESumm,2007,690000,150000,155000
Summ,2007,3369000,1261000,650000
Lat,2007,2143000,827000,610000
EStu,2008,35000,35000,40000
ESumm,2008,349000,500000,450000
Summ,2008,1810000,1182000,980000
Lat,2008,705000,252000,245000
EStu,2009,165000,165000,85000
ESumm,2009,739000,150000,175000
Summ,2009,8677000,600000,650000
Lat,2009,907000,550000,460000
EStu,2010,41000,110000,105000
ESumm,2010,783300,1600000,3800000
Summ,2010,2612000,3000000,5200000
Lat,2010,8003000,12141000,25441000
EStu,2011,17000,22000,25000
ESumm,2011,453000,453000,571000
Summ,2011,1500000,2000000,1556000
Lat (with Harrison),2011,1207000,1475000,2925000
EStu,2012,99000,99000,185000
ESumm,2012,277000,277000,530000
Summ,2012,1585000,1585000,1300000
Lat,2012,158000,200000,260000
EStu,2013,211000,211000,182000
ESumm,2013,253000,253000,550000
Summ,2013,3718000,2000000,2400000
Lat,2013,583000,583000,600000
EStu,2014,299000,299000,233500
ESumm,2014,4126000,1800000,1900000
Summ,2014,5699000,6300000,8150000
Lat,2014,12730000,12730000,9600000
EStu,2015,16000,16000,32100
ESumm,2015,837000,837000,373000
Summ,2015,4675000,1701000,1549200
Lat,2015,1236000,419000,165800
EStu,2016,36000,36000,18000
ESumm,2016,447000,447000,240000
Summ,2016,1677000,700000,528000
Lat,2016,111000,75000,70000
EStu,2017,99000,99000,47000
ESumm,2017,343000,166000,165000
Summ,2017,3407000,1250000,1044000
Lat,2017,583000,247000,231000
