stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,ets,
1,1948,4,0,0,0.179412,0.018741,0.198153,0.010859,0.018061,
1,1949,1,0,0.006218,1.029437,0.001271,1.030708,0.168458,0.35519,
1,1950,2,0,0.000579,0.240545,0.000542,0.241087,0.025658,0.053069,
1,1951,3,0,0.000009,0.158428,0.015217,0.173645,0.029785,0.052825,
1,1952,4,0,0.000028,0.078012,0.01056,0.088572,0.015484,0.027821,
1,1953,1,0,0.000294,0.537711,0.002886,0.540597,0.078238,0.137097,
1,1954,2,0,0.000341,0.154781,0.000701,0.155482,0.01801,0.034427,
1,1955,3,0,0.000011,0.025824,0.001632,0.027456,0.001397,0.002052,
1,1956,4,0,0,0.101035,0.006393,0.107428,0.016661,0.024684,
1,1957,1,0,0.00073,1.215763,0.003272,1.219035,0.119273,0.232256,
1,1958,2,0,0.000755,0.102112,0.00024,0.102352,0.022196,0.037279,
1,1959,3,0,0,0.014682,0.006153,0.020835,0.001297,0.002586,
1,1960,4,0,0.000022,0.069925,0.004202,0.074127,0.007401,0.012397,
1,1961,1,0,0.00063,0.252123,0.002208,0.254331,0.087782,0.16048,
1,1962,2,0,0,0.067661,0.005992,0.073653,0.014103,0.025398,
1,1963,3,0,0.000332,0.090397,0.001825,0.092222,0.00259,0.004109,
1,1964,4,0,0.001027,0.02594,0.012949,0.038889,0.0013,0.002319,
1,1965,1,0,0.000432,0.415253,0.001526,0.416779,0.011241,0.018543,
1,1966,2,0,0.001746,0.08304,0,0.08304,0.005959,0.01009,
1,1967,3,0,0.000423,0.326142,0.013128,0.33927,0.011167,0.019949,
1,1968,4,0,0.000011,0.010412,0,0.010412,0.000795,0.00134,
1,1969,1,0,0.000648,1.366181,0.004452,1.370633,0.048796,0.089746,
1,1970,2,0,0.001212,0.178232,0.001312,0.179544,0.015806,0.028206,
1,1971,3,0,0.000311,0.42351,0.006993,0.430503,0.04561,0.08544,
1,1972,4,0,0.000025,0.032207,0,0.032207,0.002253,0.004219,
1,1973,1,0,0.004591,1.342456,0.003951,1.346407,0.153876,0.295915,
1,1974,2,0,0.001242,0.141307,0.002218,0.143525,0.02161,0.038013,
1,1975,3,0,0.00015,0.220007,0.002852,0.222859,0.026252,0.052052,
1,1976,4,0,0.000043,0.0288,0.003034,0.031834,0.006792,0.011431,
1,1977,1,0,0.000572,0.752467,0.008655,0.761122,0.053363,0.086551,
1,1978,2,0,0.000202,0.07147,0.00118,0.07265,0.020004,0.035786,
1,1979,3,0,0.000034,0.089807,0.017889,0.107696,0.03617,0.069277,
1,1980,4,0,0.00001,0.03795,0.025541,0.063491,0.007361,0.012648,
1,1981,1,0,0.000046,0.33129,0.018805,0.350095,0.071485,0.123195,
1,1982,2,0,0.000013,0.026796,0.001007,0.027803,0.002158,0.003749,
1,1983,3,0,0.000423,0.17676,0.010949,0.187709,0.013121,0.020443,
1,1984,4,0,0.00024,0.209867,0.029536,0.239403,0.021868,0.040202,
1,1985,1,0,0.002414,1.179879,0.026057,1.205936,0.118124,0.215698,
1,1986,2,0,0.000056,0.12828,0.017603,0.145883,0.01516,0.027352,
1,1987,3,0,0.000008,0.494847,0.031065,0.525912,0.075524,0.135361,
1,1988,4,0,0.000033,0.319342,0.059894,0.379236,0.088071,0.174002,
1,1989,1,0,0.00042,1.091749,0.045932,1.137681,0.211041,0.365639,
1,1990,2,0,0.000002,0.156963,0.009121,0.166084,0.047065,0.093371,
1,1991,3,0,0.000514,0.129192,0.014581,0.143773,0.085456,0.138286,
1,1992,4,0,0.00001,0.080797,0.019569,0.100366,0.036565,0.05838,
1,1993,1,0,0.000847,1.652166,0.16177,1.813936,0.386806,0.679396,
1,1994,2,0,0.000006,0.02799,0.001034,0.029024,0.014499,0.026703,
1,1995,3,0,0.00002,0.170595,0.018985,0.18958,0.057342,0.108053,
1,1996,4,0,0,0.359206,0.10494,0.464146,0.041063,0.083274,
1,1997,1,0,0.000001,0.109249,0.038121,0.14737,0.073416,0.216779,
1,1998,2,0,0.000002,0.024341,0.004349,0.02869,0.009332,0.018221,
1,1999,3,0,0,0.025927,0.004639,0.030566,0.008189,0.020883,
1,2000,4,0,0,0.132457,0.003417,0.135874,0.035333,0.079487,
1,2001,1,0,0.000005,0.216279,0.035722,0.252001,0.082852,0.158779,
1,2002,2,0,0,0.020266,0.0043,0.024566,0.012921,0.023742,
1,2003,3,0,0,0.008431,0.001588,0.010019,0.006932,0.012718,
1,2004,4,0,0,0.032387,0.005077,0.037464,0.005181,0.008948,
1,2005,1,0,0.000049,0.076119,0.007844,0.083963,0.051153,0.097771,
1,2006,2,0,0,0.096013,0.010603,0.106616,0.015914,0.032016,
1,2007,3,0,0,0.010551,0.000147,0.010698,0.002376,0.00459,
1,2008,4,0,0.000001,0.183792,0.009159,0.192951,0.014446,0.026262,
1,2009,1,0,0.000003,0.172778,0.030113,0.202891,0.021884,0.042983,
1,2010,2,0,0.000053,0.191813,0.024267,0.21608,0.034198,0.055378,
1,2011,3,0,0.000003,0.00207,NA,NA,0.000233,0.000617,
1,2012,4,0,0.000009,NA,NA,NA,0.006812,0.019822,
1,2013,1,NA,NA,NA,NA,NA,0.039658,0.07531,
1,2014,2,NA,NA,NA,NA,NA,0.023298,0.045781,
1,2015,3,NA,NA,NA,NA,NA,0.00406,0.0075703,
2,1948,4,0,0,0.000327,0,0.000327,NA,NA,
2,1949,1,0,0.003433,1.526554,0,1.526554,0.039085,0.069684,
2,1950,2,0,0.000591,0.036671,0.002419,0.03909,0.001834,0.003869,
2,1951,3,0,0,0.056085,0.007559,0.063644,0.001246,0.002774,
2,1952,4,0,0.000086,0.003858,0.000029,0.003887,0.000016,0.0000329,
2,1953,1,0,0.00083,1.548072,0.00147,1.549542,0.078686,0.167574,
2,1954,2,0,0.00015,0.135111,0.002704,0.137815,0.002687,0.005388,
2,1955,3,0,0.000029,0.050196,0.00112,0.051316,0.003274,0.007197,
2,1956,4,0,0,0.013472,0.03263,0.046102,0.000466,0.000831,
2,1957,1,0,0.000874,1.327094,0.001916,1.32901,0.300038,0.508285,
2,1958,2,0,0.000672,0.053044,0.000961,0.054005,0.013152,0.023619,
2,1959,3,0,0.000067,0.006092,0.001233,0.007325,0.00409,0.007991,
2,1960,4,0,0.000027,0.006658,0.002932,0.00959,0.001307,0.002313,
2,1961,1,0,0.000143,0.770385,0.007535,0.77792,0.194461,0.321547,
2,1962,2,0,0.000045,0.043107,0.001917,0.045024,0.009073,0.015711,
2,1963,3,0,0.000025,0.011911,0.000113,0.012024,0.001092,0.002403,
2,1964,4,0,0.00006,0.001806,0.001235,0.003041,0.000824,0.001816,
